Category,Defect Type,Total Pixels,Defect Pixels,Coverage (%),H,W
bottle,broken_large,810000,88192,10.8879012345679,900,900
bottle,broken_large,810000,33132,4.090370370370371,900,900
bottle,broken_large,810000,105614,13.038765432098764,900,900
bottle,broken_large,810000,102217,12.619382716049381,900,900
bottle,broken_large,810000,118913,14.680617283950617,900,900
bottle,broken_large,810000,222091,27.418641975308645,900,900
bottle,broken_large,810000,125835,15.535185185185185,900,900
bottle,broken_large,810000,114063,14.081851851851852,900,900
bottle,broken_large,810000,90028,11.114567901234567,900,900
bottle,broken_large,810000,109290,13.492592592592592,900,900
bottle,broken_large,810000,130952,16.166913580246913,900,900
bottle,broken_large,810000,106080,13.096296296296298,900,900
bottle,broken_large,810000,33201,4.098888888888888,900,900
bottle,broken_large,810000,76641,9.461851851851852,900,900
bottle,broken_large,810000,70457,8.698395061728394,900,900
bottle,broken_large,810000,123810,15.285185185185185,900,900
bottle,broken_large,810000,60540,7.474074074074075,900,900
bottle,broken_large,810000,70875,8.75,900,900
bottle,broken_large,810000,38206,4.71679012345679,900,900
bottle,broken_large,810000,75659,9.340617283950618,900,900
bottle,broken_small,810000,7166,0.8846913580246915,900,900
bottle,broken_small,810000,28333,3.497901234567901,900,900
bottle,broken_small,810000,25926,3.200740740740741,900,900
bottle,broken_small,810000,17311,2.1371604938271607,900,900
bottle,broken_small,810000,22626,2.7933333333333334,900,900
bottle,broken_small,810000,16578,2.046666666666667,900,900
bottle,broken_small,810000,65292,8.06074074074074,900,900
bottle,broken_small,810000,29456,3.636543209876543,900,900
bottle,broken_small,810000,20384,2.5165432098765432,900,900
bottle,broken_small,810000,37177,4.589753086419753,900,900
bottle,broken_small,810000,26219,3.236913580246913,900,900
bottle,broken_small,810000,17046,2.1044444444444443,900,900
bottle,broken_small,810000,46314,5.717777777777778,900,900
bottle,broken_small,810000,12266,1.5143209876543209,900,900
bottle,broken_small,810000,11966,1.477283950617284,900,900
bottle,broken_small,810000,63191,7.801358024691359,900,900
bottle,broken_small,810000,21797,2.6909876543209874,900,900
bottle,broken_small,810000,15597,1.9255555555555557,900,900
bottle,broken_small,810000,19096,2.357530864197531,900,900
bottle,broken_small,810000,14546,1.7958024691358025,900,900
bottle,broken_small,810000,14995,1.8512345679012345,900,900
bottle,broken_small,810000,13480,1.6641975308641976,900,900
bottle,contamination,810000,58708,7.247901234567901,900,900
bottle,contamination,810000,121385,14.985802469135804,900,900
bottle,contamination,810000,16790,2.0728395061728393,900,900
bottle,contamination,810000,133876,16.527901234567903,900,900
bottle,contamination,810000,27013,3.3349382716049383,900,900
bottle,contamination,810000,122515,15.125308641975307,900,900
bottle,contamination,810000,21317,2.6317283950617285,900,900
bottle,contamination,810000,14913,1.8411111111111111,900,900
bottle,contamination,810000,67541,8.338395061728395,900,900
bottle,contamination,810000,93231,11.51,900,900
bottle,contamination,810000,41319,5.101111111111111,900,900
bottle,contamination,810000,45048,5.561481481481481,900,900
bottle,contamination,810000,4663,0.575679012345679,900,900
bottle,contamination,810000,99554,12.290617283950617,900,900
bottle,contamination,810000,58120,7.175308641975309,900,900
bottle,contamination,810000,122608,15.13679012345679,900,900
bottle,contamination,810000,123943,15.301604938271604,900,900
bottle,contamination,810000,120781,14.911234567901236,900,900
bottle,contamination,810000,111640,13.782716049382715,900,900
bottle,contamination,810000,5429,0.6702469135802469,900,900
bottle,contamination,810000,33779,4.170246913580248,900,900
cable,cut_outer_insulation,1048576,23454,2.2367477416992188,1024,1024
cable,cut_outer_insulation,1048576,24050,2.2935867309570312,1024,1024
cable,cut_outer_insulation,1048576,35537,3.3890724182128906,1024,1024
cable,cut_outer_insulation,1048576,7697,0.7340431213378906,1024,1024
cable,cut_outer_insulation,1048576,14604,1.3927459716796875,1024,1024
cable,cut_outer_insulation,1048576,21941,2.092456817626953,1024,1024
cable,cut_outer_insulation,1048576,4647,0.4431724548339844,1024,1024
cable,cut_outer_insulation,1048576,7513,0.7164955139160156,1024,1024
cable,cut_outer_insulation,1048576,11710,1.1167526245117188,1024,1024
cable,cut_outer_insulation,1048576,10318,0.9840011596679688,1024,1024
cable,missing_cable,1048576,74489,7.103824615478516,1024,1024
cable,missing_cable,1048576,77885,7.427692413330078,1024,1024
cable,missing_cable,1048576,144175,13.74959945678711,1024,1024
cable,missing_cable,1048576,74858,7.139015197753906,1024,1024
cable,missing_cable,1048576,69188,6.5982818603515625,1024,1024
cable,missing_cable,1048576,84372,8.046340942382812,1024,1024
cable,missing_cable,1048576,158927,15.15645980834961,1024,1024
cable,missing_cable,1048576,70780,6.7501068115234375,1024,1024
cable,missing_cable,1048576,71763,6.843852996826172,1024,1024
cable,missing_cable,1048576,236776,22.580718994140625,1024,1024
cable,missing_cable,1048576,77245,7.366657257080078,1024,1024
cable,missing_cable,1048576,151277,14.426898956298828,1024,1024
cable,cut_inner_insulation,1048576,33306,3.1763076782226562,1024,1024
cable,cut_inner_insulation,1048576,44383,4.232692718505859,1024,1024
cable,cut_inner_insulation,1048576,26265,2.5048255920410156,1024,1024
cable,cut_inner_insulation,1048576,62868,5.9955596923828125,1024,1024
cable,cut_inner_insulation,1048576,26929,2.5681495666503906,1024,1024
cable,cut_inner_insulation,1048576,31665,3.0198097229003906,1024,1024
cable,cut_inner_insulation,1048576,29743,2.8365135192871094,1024,1024
cable,cut_inner_insulation,1048576,41070,3.9167404174804688,1024,1024
cable,cut_inner_insulation,1048576,27373,2.610492706298828,1024,1024
cable,cut_inner_insulation,1048576,30558,2.9142379760742188,1024,1024
cable,cut_inner_insulation,1048576,103750,9.894371032714844,1024,1024
cable,cut_inner_insulation,1048576,19775,1.8858909606933594,1024,1024
cable,cut_inner_insulation,1048576,56332,5.3722381591796875,1024,1024
cable,cut_inner_insulation,1048576,61146,5.831336975097656,1024,1024
cable,bent_wire,1048576,23162,2.2089004516601562,1024,1024
cable,bent_wire,1048576,32843,3.132152557373047,1024,1024
cable,bent_wire,1048576,19659,1.8748283386230469,1024,1024
cable,bent_wire,1048576,12881,1.2284278869628906,1024,1024
cable,bent_wire,1048576,37083,3.536510467529297,1024,1024
cable,bent_wire,1048576,38102,3.6336898803710938,1024,1024
cable,bent_wire,1048576,38552,3.676605224609375,1024,1024
cable,bent_wire,1048576,37738,3.5989761352539062,1024,1024
cable,bent_wire,1048576,15206,1.4501571655273438,1024,1024
cable,bent_wire,1048576,72366,6.901359558105469,1024,1024
cable,bent_wire,1048576,40784,3.88946533203125,1024,1024
cable,bent_wire,1048576,119231,11.37075424194336,1024,1024
cable,bent_wire,1048576,38202,3.6432266235351562,1024,1024
cable,poke_insulation,1048576,8620,0.8220672607421875,1024,1024
cable,poke_insulation,1048576,31573,3.011035919189453,1024,1024
cable,poke_insulation,1048576,41654,3.9724349975585938,1024,1024
cable,poke_insulation,1048576,13376,1.275634765625,1024,1024
cable,poke_insulation,1048576,1506,0.14362335205078125,1024,1024
cable,poke_insulation,1048576,51028,4.8664093017578125,1024,1024
cable,poke_insulation,1048576,6611,0.6304740905761719,1024,1024
cable,poke_insulation,1048576,31427,2.997112274169922,1024,1024
cable,poke_insulation,1048576,27740,2.6454925537109375,1024,1024
cable,poke_insulation,1048576,37053,3.533649444580078,1024,1024
cable,cable_swap,1048576,67133,6.402301788330078,1024,1024
cable,cable_swap,1048576,55036,5.2486419677734375,1024,1024
cable,cable_swap,1048576,61687,5.882930755615234,1024,1024
cable,cable_swap,1048576,59063,5.632686614990234,1024,1024
cable,cable_swap,1048576,57103,5.445766448974609,1024,1024
cable,cable_swap,1048576,60502,5.769920349121094,1024,1024
cable,cable_swap,1048576,63705,6.075382232666016,1024,1024
cable,cable_swap,1048576,65474,6.244087219238281,1024,1024
cable,cable_swap,1048576,61514,5.866432189941406,1024,1024
cable,cable_swap,1048576,67894,6.474876403808594,1024,1024
cable,cable_swap,1048576,51956,4.9549102783203125,1024,1024
cable,cable_swap,1048576,58211,5.551433563232422,1024,1024
cable,missing_wire,1048576,24951,2.3795127868652344,1024,1024
cable,missing_wire,1048576,38640,3.68499755859375,1024,1024
cable,missing_wire,1048576,18820,1.7948150634765625,1024,1024
cable,missing_wire,1048576,40701,3.881549835205078,1024,1024
cable,missing_wire,1048576,15156,1.4453887939453125,1024,1024
cable,missing_wire,1048576,18838,1.7965316772460938,1024,1024
cable,missing_wire,1048576,18712,1.784515380859375,1024,1024
cable,missing_wire,1048576,16616,1.584625244140625,1024,1024
cable,missing_wire,1048576,18399,1.7546653747558594,1024,1024
cable,missing_wire,1048576,20485,1.9536018371582031,1024,1024
cable,combined,1048576,42321,4.036045074462891,1024,1024
cable,combined,1048576,49977,4.766178131103516,1024,1024
cable,combined,1048576,48510,4.626274108886719,1024,1024
cable,combined,1048576,32849,3.1327247619628906,1024,1024
cable,combined,1048576,23893,2.278614044189453,1024,1024
cable,combined,1048576,78276,7.4649810791015625,1024,1024
cable,combined,1048576,77899,7.429027557373047,1024,1024
cable,combined,1048576,148557,14.167499542236328,1024,1024
cable,combined,1048576,41285,3.937244415283203,1024,1024
cable,combined,1048576,94011,8.965587615966797,1024,1024
cable,combined,1048576,92936,8.863067626953125,1024,1024
capsule,poke,1000000,12289,1.2288999999999999,1000,1000
capsule,poke,1000000,2743,0.27430000000000004,1000,1000
capsule,poke,1000000,5226,0.5226,1000,1000
capsule,poke,1000000,5162,0.5162,1000,1000
capsule,poke,1000000,2135,0.21350000000000002,1000,1000
capsule,poke,1000000,1318,0.1318,1000,1000
capsule,poke,1000000,1901,0.1901,1000,1000
capsule,poke,1000000,1577,0.1577,1000,1000
capsule,poke,1000000,1274,0.12739999999999999,1000,1000
capsule,poke,1000000,1960,0.196,1000,1000
capsule,poke,1000000,2479,0.24789999999999998,1000,1000
capsule,poke,1000000,695,0.06949999999999999,1000,1000
capsule,poke,1000000,2276,0.22759999999999997,1000,1000
capsule,poke,1000000,997,0.09970000000000001,1000,1000
capsule,poke,1000000,1926,0.1926,1000,1000
capsule,poke,1000000,2906,0.2906,1000,1000
capsule,poke,1000000,1607,0.16069999999999998,1000,1000
capsule,poke,1000000,2714,0.2714,1000,1000
capsule,poke,1000000,2253,0.22529999999999997,1000,1000
capsule,poke,1000000,3589,0.3589,1000,1000
capsule,poke,1000000,4295,0.4295,1000,1000
capsule,squeeze,1000000,76945,7.6945,1000,1000
capsule,squeeze,1000000,5830,0.583,1000,1000
capsule,squeeze,1000000,31191,3.1191,1000,1000
capsule,squeeze,1000000,9902,0.9902,1000,1000
capsule,squeeze,1000000,80278,8.027800000000001,1000,1000
capsule,squeeze,1000000,3413,0.3413,1000,1000
capsule,squeeze,1000000,1881,0.18810000000000002,1000,1000
capsule,squeeze,1000000,5786,0.5786,1000,1000
capsule,squeeze,1000000,11767,1.1766999999999999,1000,1000
capsule,squeeze,1000000,21950,2.1950000000000003,1000,1000
capsule,squeeze,1000000,66178,6.6178,1000,1000
capsule,squeeze,1000000,11339,1.1339,1000,1000
capsule,squeeze,1000000,5820,0.582,1000,1000
capsule,squeeze,1000000,50215,5.0215000000000005,1000,1000
capsule,squeeze,1000000,64136,6.4136,1000,1000
capsule,squeeze,1000000,70635,7.0635,1000,1000
capsule,squeeze,1000000,61876,6.1876,1000,1000
capsule,squeeze,1000000,48392,4.8392,1000,1000
capsule,squeeze,1000000,80787,8.0787,1000,1000
capsule,squeeze,1000000,23973,2.3973,1000,1000
capsule,scratch,1000000,3260,0.326,1000,1000
capsule,scratch,1000000,5139,0.5139,1000,1000
capsule,scratch,1000000,10398,1.0397999999999998,1000,1000
capsule,scratch,1000000,14396,1.4396,1000,1000
capsule,scratch,1000000,6350,0.635,1000,1000
capsule,scratch,1000000,9149,0.9148999999999999,1000,1000
capsule,scratch,1000000,5528,0.5528,1000,1000
capsule,scratch,1000000,8001,0.8000999999999999,1000,1000
capsule,scratch,1000000,5762,0.5761999999999999,1000,1000
capsule,scratch,1000000,4649,0.46490000000000004,1000,1000
capsule,scratch,1000000,7296,0.7296,1000,1000
capsule,scratch,1000000,3090,0.309,1000,1000
capsule,scratch,1000000,5954,0.5954,1000,1000
capsule,scratch,1000000,5811,0.5811000000000001,1000,1000
capsule,scratch,1000000,2965,0.29650000000000004,1000,1000
capsule,scratch,1000000,6448,0.6447999999999999,1000,1000
capsule,scratch,1000000,4424,0.4424,1000,1000
capsule,scratch,1000000,8496,0.8496,1000,1000
capsule,scratch,1000000,6366,0.6366,1000,1000
capsule,scratch,1000000,9587,0.9587,1000,1000
capsule,scratch,1000000,15261,1.5261,1000,1000
capsule,scratch,1000000,4301,0.43010000000000004,1000,1000
capsule,scratch,1000000,12196,1.2196,1000,1000
capsule,crack,1000000,2494,0.2494,1000,1000
capsule,crack,1000000,684,0.0684,1000,1000
capsule,crack,1000000,3043,0.3043,1000,1000
capsule,crack,1000000,731,0.0731,1000,1000
capsule,crack,1000000,2750,0.27499999999999997,1000,1000
capsule,crack,1000000,2759,0.27590000000000003,1000,1000
capsule,crack,1000000,1993,0.1993,1000,1000
capsule,crack,1000000,3459,0.3459,1000,1000
capsule,crack,1000000,2118,0.21180000000000002,1000,1000
capsule,crack,1000000,4812,0.4812,1000,1000
capsule,crack,1000000,17974,1.7974,1000,1000
capsule,crack,1000000,903,0.0903,1000,1000
capsule,crack,1000000,4835,0.4835,1000,1000
capsule,crack,1000000,2820,0.28200000000000003,1000,1000
capsule,crack,1000000,4351,0.4351,1000,1000
capsule,crack,1000000,23268,2.3268,1000,1000
capsule,crack,1000000,3416,0.3416,1000,1000
capsule,crack,1000000,5236,0.5236000000000001,1000,1000
capsule,crack,1000000,5428,0.5428,1000,1000
capsule,crack,1000000,5359,0.5359,1000,1000
capsule,crack,1000000,991,0.0991,1000,1000
capsule,crack,1000000,371,0.0371,1000,1000
capsule,crack,1000000,11638,1.1638000000000002,1000,1000
capsule,faulty_imprint,1000000,2672,0.2672,1000,1000
capsule,faulty_imprint,1000000,3458,0.3458,1000,1000
capsule,faulty_imprint,1000000,41291,4.1291,1000,1000
capsule,faulty_imprint,1000000,3014,0.3014,1000,1000
capsule,faulty_imprint,1000000,1627,0.1627,1000,1000
capsule,faulty_imprint,1000000,2247,0.22469999999999998,1000,1000
capsule,faulty_imprint,1000000,1992,0.1992,1000,1000
capsule,faulty_imprint,1000000,2789,0.2789,1000,1000
capsule,faulty_imprint,1000000,3280,0.328,1000,1000
capsule,faulty_imprint,1000000,2810,0.281,1000,1000
capsule,faulty_imprint,1000000,3112,0.31120000000000003,1000,1000
capsule,faulty_imprint,1000000,2771,0.2771,1000,1000
capsule,faulty_imprint,1000000,2149,0.21489999999999998,1000,1000
capsule,faulty_imprint,1000000,39240,3.9239999999999995,1000,1000
capsule,faulty_imprint,1000000,2289,0.2289,1000,1000
capsule,faulty_imprint,1000000,6467,0.6466999999999999,1000,1000
capsule,faulty_imprint,1000000,2705,0.2705,1000,1000
